ID,TITLE,DESCRIPTION,PUBLISHED_AT,CATEGORY_ID,DURATION,CAPTION,LIKE_COUNT,COMMENT_COUNT,VIEW_COUNT
6pPxy713RhI,Hoa Hải Đường | Jack | Cover Guitar đệm hợp âm,hợp âm 1 thiên hà như vôi dm gm c dm x2 2 tiếc là lúc đầu dm gm c fa7 kiếp này hải đường dm gm ca7dm đk vì lòng trong đây dm am bbfa7 vậy mà tình ta dm am bba7dm drop dm am gm a7 x2 fb httpswwwfacebookcomprofilephpid100005968653032,2020-09-23T01:54:51Z,22,PT1M57S,false,53,11,2770
fpDN6pfCwHA,Giấc Mơ Tình Yêu - Hương Lê | Guitar Cover | Acoustic Cover | Túy Ân Acoustic,about httpslinktreetuyannguyen zalo 09874 09748 cung cấp nhạc cụ và lớp dạy đàn khu vực hcm,2024-05-10T03:45:54Z,22,PT1M54S,false,10,2,574
B6g5_PyrXNw,Đúng Cũng Thành Sai | Mỹ Tâm | Guitar cover có hợp âm,fb httpswwwfacebookcomprofilephpid100005968653032 đúng cũng đành sai mỹ tâm hợp âm f c dm am bb amdmgm c quá đủ rồi quá mệt rồi quá muộn rồi tình yêu không có lỗi lỗi là do chúng ta thôi vì khi yêu là sẽ luôn đúng chẳng bao giờ đắn đo muốn yêu tìm cách hết yêu thì tìm lý do prechorus dm am bbcf dm am bb c ngày nào còn yêu thì luôn nghĩ đến cho nhau bấy nhiêu mà giờ người ta lạnh lùng đến thế dẫu mình nuông chiều chẳng hề hay biết cuộc tình đã khác trước kia quá nhiều cứ vô tư dành tặng mọi thứ cho người mình yêu chorus f am bb amdmgm c f am bb am bbcamdmgmcf nếu người ta đã nghĩ họ đúng điều mình nói đúng cũng thành sai nếu người ta đã không cần nữa mình làm gì thì cũng không phải còn yêu thì sẽ luôn nhẫn nại cho dù ai đang sai đã hết yêu rồi cố gắng lại làm phiền người ta thôi nếu người ta đã luôn giận dỗi tìm mọi cách khiến ta buông xuôi nếu tình yêu đã không còn mới đừng ngạc nhiên người đó thay đổi đối với mình họ là thế giới nhưng người ta nào có nghĩ ngợi đã hết yêu rồi đúng cũng thành sai thôi,2020-09-30T03:25:07Z,22,PT1M15S,false,15,10,2068
AAEX3Iqqmu4,Happy For You - Lukas Graham (feat. Vũ.)  || Cover Guitar Phiên bản tự chế.,ủng hộ anh vũ httpsyoutubemf4upapwheo dạy đệm hát guitar ukulele piano tp hcm fb httpswwwfacebookcomprofilephpid100005968653032,2021-07-02T18:28:02Z,22,PT1M21S,false,41,6,2274
m-L5Ies18RM,Đi Cùng Em - Hà Tròn ft. Lemon Climb || Cover guitar đệm hợp âm,capo 3 bb tone gốc g em c d bm em amc d g d em bm c g c d,2020-08-24T01:39:41Z,22,PT1M41S,false,26,5,1491
kbaQDZEvXLs,Vợ ơi | Lê Bảo Bình | Guitar cover chỉ 4 hợp âm,fb httpswwwfacebookcomprofilephpid100005968653032 vợ ơi lê bảo bình 4 hợp âm abm e f d m tông chuẩn các bạn có thể đánh cao lên 1 xíu cho dễ am f g em,2020-10-15T02:02:59Z,22,PT1M53S,false,27,5,2891
IM4lor3o96I,NGHE - NÓI || OBITO & PJPO || RAP VIỆT MÙA 2 COVER GUITAR VỚI 4 HỢP ÂM,hợp âm vòng a fm d dm hoặc đơn giản hơn capo ngăn 2 g em c cm dạy guitar ukulele piano tp hcm fb httpswwwfacebookcomprofilephpid100005968653032,2021-12-19T12:13:32Z,22,PT1M30S,false,61,9,3802
O-Nz2ltbZLY,Yêu Thầm | Hoàng Yến Chibi x Tlinh x Lyly x TDK | Cover Guitar đệm hợp âm,ủng hộ yêu thầm của chị hoàng yến chibi httpsyoutube8sjl66eanue nhịp 44 tông c hợp âm vòng c am dm fmg dạy đệm hát guitar ukulele piano tp hcm fb httpswwwfacebookcomprofilephpid100005968653032,2021-04-08T08:19:41Z,22,PT1M37S,false,18,2,1914
xEkkQ5Jjl7M,Trốn Tìm - Đen Vâu ft. MTV band || Cover guitar đệm hợp âm,ủng hộ anh đen vâu httpsyoutubewsqlpsltr8 lyrics chords trốn tìm f x2 dm x2 e x2 am x2 có một cái cây trong một cái vườn trên những tán cây nở rộ những đóa hoa có hai đứa nhóc đang chơi trốn tìm tìm hoài tìm mãi nên quên lối về am x2 f x2 dm x2 e x2 anh đi tìm thì em trốn anh đi trốn em không tìm lòng em không gợn sóng cuối cùng anh mất công chìm nếu mà có cây búa anh sẽ nện cho bỏ công vì nhớ nhung đặc quánh giờ nó khô thành bê tông chúng ta rồi sẽ có có những chuyến đi dài tự học lấy mọi thứ vì trong tình trường làm biến ghi bài câu chuyện của chúng ta bỗng có thêm một miếng bi hài vì cách mà em gọi anh không có u và thiếu y dài ê phía xa thành phố người ta đã bật đèn đường hương xưa quen làm anh thấy thật thèm thuồng nỗi buồn vàng rực cứ như chứa đồng thâu hệt như là beckham vây em chỉ giỏi cứa lòng nhau hé cửa sổ ra mà xem có một chàng thi sĩ đững ở ngay nhà em viết nhạc tình mát ngọt tựa như cây cà kem anh ta sẽ đứng ở nơi đây cả đêm f x2 dm x2 e x2 am x2 có hai cái cây trong một cái vườn trên những tán cây nỡ rộ những đóa hoa có hai đứa nhóc đang chơi trốn tìm tìm hoài tìm mãi nên quên lối về am x2 f x2 dm x2 e x2 hồi đó anh rụt rè như đám cây mắc cỡ gần em làm anh hồi hộp tới mức gây tắc thở ta đều không biết có đều gì sau đám mây sắp nở trò chơi trốn tìm ngày đó sau này đầy trắc trở ta săn bắn những khát vọng và hái lượm những giấc mơ ta gieo trồng cây ước mọng thứ mà lấy đi nhiều thì giờ ta đào những cái hố mà không biết có ngày bị lọt để rất lâu sau này chúng ta cau mày nhận ra không phải tất cả bông hoa thì đều sẽ có những nhụy ngọt gọi tên em làm anh mất giọng hoài hệt như là một giấc mộng dài ta đi tìm cả thế giới những mà lại trốn nhau biết vậy thà nghỉ chơi từ lúc mới chớm đau người đi tìm cái người đi trốn người đi trốn cái người đi tìm am x2 f x2 dm x2 e x2 am x2 tình yêu từ những ngày xưa đã ngủ quên dưới tán cây im lìm có ba cái cây trong một cái cái vườn trên những tán cây nở rộ những đóa hoa có hai đứa nhóc đang chơi trốn tìm tìm hoài tìm mãi nên quên lối về f x2 dm x2 e x2 am x2 ai đó đã chặt hết cây và cũng chẳng thấy vườn chẳng thấy cây trong vườn ai đó đã xây một ngôi nhà rất to chặt hết cây đi rồi chắc em hạnh phúc yên vui với người nhà em có chó anh không dám vào dạo f x2 dm x2 e x2 am x2 niềm cô đơn của những người trưởng thành e là khi muốn trốn nhưng không ai muốn tìm am nhiều khi ta muốn ta được bé lại e để khi đi trốn có người đi tìm am nhiều khi ta muốn ta được bé lại e để khi đi trốn ecó người đi tìm am dạy đệm hát guitar ukulele piano tp hcm fb httpswwwfacebookcomprofilephpid100005968653032,2021-05-13T17:00:01Z,22,PT1M24S,false,65,8,5281
C2baIpyFBZA,LAYLALAY (ANH ĐÃ SAI) | JACK | Guitar đệm hợp âm,ủng hộ jack nhé mn httpsyoutubebtfozbiiu4e dạy đệm hát guitar ukulele piano tp hcm fb httpswwwfacebookcomprofilephpid100005968653032,2021-04-13T08:22:00Z,22,PT1M23S,false,13,2,595
